deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
1,2024-05-20 12:36:01,SUIUSDT,5m,short,1.11,1.063,1.052,1.072,1.05,0.79,1.059,1.073,0.38,0.94,1.072,-0.85,loss,2024-05-20 13:09:03,RSI:51;
2,2024-05-21 02:11:10,JOEUSDT,5m,short,1.43,0.5294,0.523,0.5332,1.22,0.71,0.529,0.5345,0.08,0.96,0.5341,-0.89,loss,2024-05-21 02:24:03,RSI:57;
3,2024-05-21 03:55:13,BNBUSDT,5m,short,2.08,602.4,587.42,608.9,2.49,1.08,593.3,609.4,1.51,1.16,609.3,-1.15,loss,2024-05-21 09:56:11,RSI:55;
4,2024-05-21 04:00:38,AVAXUSDT,5m,short,2.36,40.49,38.789,41.166,4.2,1.67,39.66,41.19,2.05,1.73,41.07,-1.43,loss,2024-05-21 08:43:03,RSI:60;
5,2024-05-21 23:05:31,DOGEUSDT,5m,long,1.08,0.165,0.1678,0.1626,1.71,1.43,0.1679,0.1646,1.76,0.24,0.1679,1.76,win,2024-05-22 01:14:03,RSI:39;
6,2024-05-21 23:20:33,MATICUSDT,5m,long,3.74,0.7281,0.7557,0.7215,3.79,0.91,0.7335,0.7212,0.74,0.95,0.7212,-0.95,loss,2024-05-22 07:37:03,RSI:49;
7,2024-05-22 03:40:40,DYDXUSDT,5m,short,1.29,2.135,2.108,2.153,1.28,0.85,2.106,2.139,1.36,0.19,2.106,1.36,win,2024-05-22 07:26:12,
8,2024-05-22 10:10:56,LINAUSDT,5m,short,1.62,0.008193,0.008081,0.008252,1.37,0.71,0.008102,0.008255,1.11,0.76,0.00825,-0.7,loss,2024-05-22 13:44:04,RSI:52;
9,2024-05-22 10:25:40,DYDXUSDT,5m,short,2.17,2.123,2.078,2.141,2.11,0.86,2.072,2.123,2.4,0.0,2.074,2.31,win,2024-05-22 14:54:03,RSI:52;
10,2024-05-22 16:45:59,GALAUSDT,5m,long,1.73,0.04632,0.04853,0.0451,4.78,2.64,0.04776,0.04494,3.11,2.98,0.04503,-2.78,loss,2024-05-23 09:06:11,RSI:44;
11,2024-05-22 17:00:45,MAGICUSDT,5m,long,4.93,0.7523,0.8065,0.742,7.2,1.37,0.7849,0.7391,4.33,1.75,0.7561,0.51,loss,2024-05-23 15:57:04,RSI:49;
12,2024-05-22 17:00:59,SUSHIUSDT,5m,long,3.95,1.184,1.225,1.175,3.43,0.77,1.226,1.178,3.55,0.51,1.225,3.46,win,2024-05-23 10:36:11,RSI:49;
13,2024-05-22 17:20:43,ETCUSDT,5m,long,1.13,30.25,30.712,29.886,1.53,1.2,30.83,30.09,1.92,0.53,30.74,1.62,win,2024-05-22 18:43:03,
14,2024-05-22 19:40:58,SUIUSDT,5m,short,1.51,1.117,1.092,1.132,2.25,1.36,1.091,1.123,2.33,0.54,1.092,2.24,win,2024-05-22 21:38:04,RSI:53;
15,2024-05-23 01:35:31,DOGEUSDT,5m,short,2.35,0.1668,0.1633,0.1681,2.12,0.79,0.1642,0.1682,1.56,0.84,0.1682,-0.84,loss,2024-05-23 14:53:04,RSI:51;
16,2024-05-23 02:26:08,EDUUSDT,5m,short,1.73,0.9109,0.8586,0.94,5.74,3.2,0.874,0.9408,4.05,3.28,0.936,-2.76,loss,2024-05-23 04:47:04,RSI:52;
17,2024-05-23 14:05:18,ADAUSDT,5m,long,1.48,0.4792,0.4873,0.4744,1.68,1.0,0.4874,0.479,1.71,0.04,0.4872,1.67,win,2024-05-23 15:28:04,RSI:43;
18,2024-05-23 19:16:07,EDUUSDT,5m,short,1.09,1.022,0.9632,1.075,5.76,5.14,0.9626,1.052,5.81,2.94,0.9644,5.64,win,2024-05-23 20:47:04,RSI:54;
19,2024-05-24 01:25:53,GALAUSDT,5m,short,1.48,0.04347,0.04277,0.04389,1.61,0.96,0.04323,0.04391,0.55,1.01,0.0439,-0.99,loss,2024-05-24 02:34:04,RSI:56;
20,2024-05-24 01:30:48,ETCUSDT,5m,short,1.8,32.9,31.255,33.771,5.0,2.65,32.04,33.79,2.61,2.71,33.77,-2.64,loss,2024-05-24 03:39:03,
21,2024-05-24 02:10:39,MAGICUSDT,5m,short,1.5,0.7563,0.7452,0.7627,1.46,0.84,0.756,0.7636,0.04,0.97,0.763,-0.89,loss,2024-05-24 03:07:04,RSI:53;
22,2024-05-24 02:15:38,MAGICUSDT,5m,short,1.58,0.7565,0.7453,0.7626,1.48,0.81,0.756,0.7636,0.07,0.94,0.763,-0.86,loss,2024-05-24 03:07:04,RSI:53;
23,2024-05-24 03:00:48,ETCUSDT,5m,long,1.81,32.42,33.764,31.718,4.15,2.17,33.79,32.14,4.23,0.86,33.77,4.16,win,2024-05-24 03:39:04,RSI:48;
24,2024-05-24 18:10:39,MAGICUSDT,5m,short,1.36,0.8152,0.8004,0.8249,1.82,1.2,0.7994,0.8152,1.94,0.0,0.8,1.86,win,2024-05-24 18:13:03,RSI:56;
25,2024-05-24 20:20:36,MATICUSDT,5m,long,1.19,0.7201,0.7279,0.7146,1.08,0.76,0.7281,0.7187,1.11,0.19,0.7279,1.08,win,2024-05-24 21:12:05,
26,2024-05-24 20:20:53,SUSHIUSDT,5m,long,1.04,1.162,1.18,1.146,1.57,1.34,1.183,1.16,1.81,0.17,1.182,1.72,win,2024-05-24 21:06:08,RSI:43;
27,2024-05-24 20:21:14,JOEUSDT,5m,long,3.08,0.4518,0.4725,0.4456,4.59,1.38,0.4729,0.4513,4.67,0.11,0.4726,4.6,win,2024-05-25 05:06:14,
28,2024-05-25 06:20:26,SOLUSDT,5m,short,2.64,168.44,164.282,169.831,2.47,0.83,168.29,169.95,0.09,0.9,169.91,-0.87,loss,2024-05-25 07:01:12,RSI:51;
29,2024-05-25 09:05:56,GALAUSDT,5m,short,2.47,0.04447,0.0429,0.04505,3.53,1.32,0.04417,0.04507,0.67,1.35,0.04504,-1.28,loss,2024-05-25 14:03:03,RSI:53;
