deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
1,2023-06-22 15:35:34,FILUSDT,5m,long,1.5,3.976,4.027,3.947,1.29,0.72,3.988,3.938,0.3,0.96,3.941,-0.88,loss,2023-06-22 17:33:16,
2,2023-06-22 15:45:07,BTCUSDT,5m,long,3.14,30130.06,30666.012,29991.04,1.78,0.46,30351.14,29971.0,0.73,0.53,29984.5,-0.48,loss,2023-06-22 17:35:46,
3,2023-06-22 15:45:23,MATICUSDT,5m,long,1.3,0.6822,0.6969,0.6719,2.16,1.51,0.6851,0.6715,0.43,1.57,0.6717,-1.54,loss,2023-06-22 17:33:19,
4,2023-06-22 16:05:29,DYDXUSDT,5m,long,1.73,1.884,1.919,1.866,1.87,0.96,1.894,1.861,0.53,1.22,1.867,-0.9,loss,2023-06-22 17:25:51,
5,2023-06-22 16:05:43,PEPEUSDT,5m,long,10.7,1.58e-06,1.98e-06,1.544e-06,25.32,2.28,1.68e-06,1.54e-06,6.33,2.53,1.55e-06,-1.9,loss,2023-06-22 17:33:21,
6,2023-06-22 16:15:42,JOEUSDT,5m,long,2.83,0.3965,0.4072,0.3931,2.7,0.85,0.399,0.3927,0.63,0.96,0.3928,-0.93,loss,2023-06-22 17:36:16,
7,2023-06-22 16:20:21,DOGEUSDT,5m,long,1.92,0.06683,0.06768,0.06647,1.27,0.54,0.06706,0.06633,0.34,0.75,0.06655,-0.42,loss,2023-06-22 17:22:13,
8,2023-06-22 16:20:36,GALAUSDT,5m,long,9.11,0.02577,0.02762,0.02559,7.17,0.7,0.0259,0.02556,0.5,0.81,0.02566,-0.43,loss,2023-06-22 17:22:16,
9,2023-06-22 16:25:14,BNBUSDT,5m,long,2.49,248.6,253.48,246.92,1.96,0.68,248.6,246.8,0.0,0.72,247.3,-0.52,loss,2023-06-22 17:22:12,
10,2023-06-22 16:25:17,LTCUSDT,5m,long,1.48,86.53,87.306,86.122,0.9,0.47,86.57,85.98,0.05,0.64,85.98,-0.64,loss,2023-06-22 16:38:16,
11,2023-06-22 16:25:21,APTUSDT,5m,long,1.72,7.554,7.706,7.476,2.01,1.04,7.578,7.47,0.32,1.11,7.471,-1.1,loss,2023-06-22 17:33:11,
12,2023-06-22 16:25:25,MATICUSDT,5m,long,1.23,0.685,0.6975,0.6759,1.82,1.33,0.6851,0.6758,0.01,1.34,0.6758,-1.34,loss,2023-06-22 17:21:17,
13,2023-06-22 16:25:28,MAGICUSDT,5m,long,4.34,0.8333,0.8733,0.8249,4.8,1.01,0.8357,0.8223,0.29,1.32,0.8268,-0.78,loss,2023-06-22 17:22:17,
14,2023-06-22 16:25:41,LINAUSDT,5m,long,2.11,0.01461,0.01503,0.01442,2.93,1.27,0.01461,0.0144,0.0,1.44,0.01443,-1.23,loss,2023-06-22 16:45:47,
15,2023-06-22 16:25:46,EDUUSDT,5m,long,2.44,0.8282,0.85,0.8202,2.64,0.97,0.8285,0.8206,0.04,0.92,0.8197,-1.03,loss,2023-06-22 16:34:12,
16,2023-06-22 16:45:28,ETCUSDT,5m,short,1.29,16.84,16.608,16.996,1.38,0.93,16.6,16.92,1.43,0.48,16.65,1.13,win,2023-06-22 17:37:12,
17,2023-06-22 16:45:37,FILUSDT,5m,short,1.28,3.951,3.872,4.007,2.0,1.43,3.866,3.985,2.15,0.86,3.893,1.47,win,2023-06-22 17:42:14,
18,2023-06-22 16:50:24,MAGICUSDT,5m,long,4.76,0.8356,0.8738,0.8284,4.57,0.86,0.8357,0.8279,0.01,0.92,0.8286,-0.84,loss,2023-06-22 17:02:16,
19,2023-06-22 17:15:09,TRXUSDT,5m,long,1.06,0.07231,0.07273,0.07202,0.59,0.4,0.07234,0.07198,0.04,0.46,0.07199,-0.44,loss,2023-06-22 17:33:23,
20,2023-06-22 17:15:19,APTUSDT,5m,long,1.81,7.569,7.709,7.501,1.85,0.9,7.569,7.499,0.0,0.92,7.527,-0.55,loss,2023-06-22 17:22:11,
21,2023-06-22 17:25:14,ADAUSDT,5m,short,1.87,0.2929,0.2871,0.2957,1.99,0.94,0.2868,0.2936,2.08,0.24,0.2884,1.54,win,2023-06-22 17:42:11,
22,2023-06-22 17:25:16,DOTUSDT,5m,short,1.27,4.836,4.794,4.862,0.88,0.55,4.783,4.846,1.1,0.21,4.792,0.91,win,2023-06-22 17:36:12,
